"1R6/5p2/8/1P3p2/3P4/4k3/1r6/4K3 w - - 8 45","b5b6 b2b1","653","endgame mate mateIn1 oneMove rookEndgame"
"7R/p1r5/6k1/6p1/P5Kp/5P1P/8/8 w - - 4 44","h8a8 c7c4 f3f4 c4f4","622","endgame mate mateIn2 rookEndgame short"
"3rr1k1/1p3ppp/p1pq4/4b3/2p5/P2QP2P/1P2NPP1/1R1R2K1 w - - 0 19","d3c4 d6d1 b1d1 d8d1","646","kingsideAttack mate mateIn2 middlegame short"
"1R2q2k/6pp/2n2r2/pQ2pp2/3p4/3P2P1/4PP1P/2R3K1 b - - 7 29","e8b8 b5b8 c6b8 c1c8 f6f8 c8f8","647","backRankMate endgame fork long mate mateIn3"
"3r2k1/ppb2r2/8/2p2q1p/2Q3n1/P1P1P3/1P4PP/R1B2R1K w - - 3 25","f1f5 d8d1 f5f1 d1f1 c4f1 f7f1","698","kingsideAttack long mate mateIn3 middlegame"
"5k2/1R6/5K2/5P1P/2rr2P1/8/8/8 b - - 12 63","d4g4 b7b8 c4c8 b8c8","655","endgame mate mateIn2 rookEndgame short"
"5k2/1R4p1/3pK3/3Pp2P/8/r1p2P2/1p6/8 b - - 1 44","a3a1 b7b8","609","endgame mate mateIn1 oneMove rookEndgame"
"7k/R7/1p2p1KP/4P3/1P4P1/8/P1r2r2/8 b - - 4 41","f2g2 a7a8 c2c8 a8c8","694","endgame mate mateIn2 rookEndgame short"
"8/PP5R/8/8/5pp1/2P1k3/r7/4K3 w - - 1 55","b7b8q a2a1 b8b1 a1b1","626","endgame mate mateIn2 queenRookEndgame short"
"8/6pp/5p2/8/2R2P1P/kp4P1/r2B4/2K5 w - - 2 63","c4c3 a2a1","618","endgame mate mateIn1 oneMove"
"6k1/1R6/2r1PKP1/7p/8/1p6/2P5/8 b - - 0 41","b3c2 b7b8 c6c8 b8c8","636","endgame mate mateIn2 rookEndgame short"
"5r1k/6bp/3p2p1/1P2pq2/p1P5/3PQ1Pb/P2B2BP/4R1K1 w - - 7 33","e1f1 f5f1 g2f1 f8f1","641","kingsideAttack mate mateIn2 middlegame short"
"1R3rk1/p5p1/8/8/P1q5/6BQ/5bPP/5RK1 w - - 0 32","f1f2 c4c1 f2f1 c1f1","644","endgame mate mateIn2 short"
"7k/2R4p/pp5K/6P1/8/1r3P2/8/8 b - - 1 43","b3f3 c7c8 f3f8 c8f8","600","endgame mate mateIn2 rookEndgame short"
"5rk1/1p4pp/5n2/p2q4/P1pP4/B1P5/6PP/4QRK1 b - - 0 23","f8e8 e1e8 f6e8 f1f8","662","endgame mate mateIn2 sacrifice short"
"2r2k2/4q1pp/p2p1p2/1p3P2/3P4/5Q2/PP4PP/4R2K w - - 0 34","e1e7 c8c1 e7e1 c1e1 f3f1 e1f1","691","backRankMate endgame long mate mateIn3 queenRookEndgame"
"4r3/ppp2k1p/3r2n1/8/1n6/NP6/P1P2PPP/R1B1R1K1 w - - 2 18","e1e8 d6d1 e8e1 d1e1","617","backRankMate mate mateIn2 middlegame short"
"5k2/1R5p/5Kp1/5bP1/2r4P/8/8/8 b - - 7 55","c4h4 b7b8 f5c8 b8c8","681","endgame mate mateIn2 short"
"8/8/p1p3R1/1pP5/1P1R1p2/5kp1/1r6/6K1 w - - 8 83","g6f6 b2b1 d4d1 b1d1","650","endgame mate mateIn2 rookEndgame short"
"2r3k1/p4p2/b5p1/8/2q5/Q1p2P2/6PP/2R2R1K w - - 5 32","h2h3 c4f1 c1f1 a6f1","672","crushing endgame short"
"r6r/1pk1q3/p2p1R2/2p1p2B/4P2Q/P1PP4/1P4PP/nN4K1 w - - 1 21","f6f7 e7f7 h5f7 h8h4","617","crushing middlegame short"
"8/8/8/P1R5/r3p3/4k3/8/4K3 w - - 5 64","a5a6 a4a1 c5c1 a1c1","653","endgame mate mateIn2 rookEndgame short"
"8/7P/8/p5P1/2k2P2/P2p1R2/1r1K4/8 w - - 1 50","d2e3 b2e2","665","endgame mate mateIn1 oneMove rookEndgame"
"3k4/2p4R/1p2K3/p1r2p2/P7/8/8/8 b - - 7 59","c5c1 h7h8","602","endgame mate mateIn1 oneMove rookEndgame"
"4r2k/6pp/3bQ3/5p2/3P2b1/2P1B1Pq/1P1N1P1P/R3R1K1 b - - 0 23","e8e6 a1a8 d6b8 a8b8 e6e8 b8e8","684","backRankMate long mate mateIn3 middlegame"
"r6k/4nP1p/3q1p2/3p1P2/2pP2Q1/6RP/1b4P1/6K1 b - - 1 32","e7f5 g4g8 a8g8 f7g8q","668","advancedPawn endgame mate mateIn2 promotion short"
"5k2/R7/5K2/2r4p/pp6/7P/P7/8 b - - 1 45","a4a3 a7a8 c5c8 a8c8","633","endgame mate mateIn2 rookEndgame short"
"8/8/6pp/8/8/5PkP/r5P1/1R4K1 w - - 2 45","b1b6 a2a1 b6b1 a1b1","600","endgame mate mateIn2 rookEndgame short"
"8/P5R1/7P/5p2/5P2/3k2P1/r7/3K4 w - - 1 50","h6h7 a2a1","600","endgame mate mateIn1 oneMove rookEndgame"
"1k1r1b2/pp6/7p/PP1qp1p1/1p1P2P1/1N5P/2P1Q3/1K1R4 w - - 0 33","e2e5 d5e5 d4e5 d8d1","646","crushing discoveredAttack endgame queensideAttack short"
"3rr2k/1p2q3/p1np2b1/3N2bp/6p1/1BP3P1/PP2Qp1P/3RNRK1 w - - 0 32","f1f2 e7e2 f2e2 e8e2","683","crushing middlegame short"
"8/p1p5/P7/2k1p3/6pP/8/5K2/8 b - - 0 46","e5e4 h4h5 c5d4 h5h6","642","crushing endgame pawnEndgame quietMove short"
"1R6/1P6/8/8/5k2/6p1/1r4K1/8 w - - 4 59","g2h3 b2h2","638","endgame mate mateIn1 oneMove rookEndgame"
"1r3k1r/4np2/p5p1/2p4p/2P1q3/3R4/PbQ1NPPP/3R2K1 b - - 1 23","h5h4 d3d8 b8d8 d1d8","660","advantage middlegame short"
"4r1k1/1p3pbp/p1rp2p1/8/5N2/1P3PP1/P2B2BP/1R4K1 w - - 0 24","b1c1 c6c1 d2c1 e8e1","635","advantage master middlegame short"
"r1r4k/1bq2p1p/p3pNp1/3p4/3P1Q2/P6R/5PPP/R5K1 b - - 3 29","c7f4 h3h7","663","arabianMate kingsideAttack mate mateIn1 middlegame oneMove"
"7k/1br2pn1/p4N2/1p1pr3/3N4/2P3R1/PPB4K/8 b - - 9 40","g7h5 g3g8","625","arabianMate mate mateIn1 middlegame oneMove"
"5R2/2r2p1k/5K1P/5P2/8/8/8/8 b - - 6 60","h7h6 f8h8","631","endgame master masterVsMaster mate mateIn1 oneMove rookEndgame"
"5k2/R5p1/4K2p/p7/6PP/r4P2/1p6/8 b - - 1 38","b2b1q a7a8 b1b8 a8b8","613","endgame mate mateIn2 queenRookEndgame short"
"4r1k1/pp5p/3p2q1/2pP4/2P1pr2/1P2QPpP/P5P1/3RR1K1 b - - 1 26","e4f3 e3e8 g6e8 e1e8","677","crushing endgame kingsideAttack short"
"r4k1r/6p1/p1pq2bp/1p1pR3/1P4P1/PB4QP/2P3P1/6K1 b - - 0 25","a8e8 e5e8 g6e8 g3d6","649","crushing discoveredAttack middlegame short"
"4r1k1/pp3R1p/2ppQ1pB/4b3/1P2P3/P5P1/6KP/8 b - - 0 28","e8e6 f7f8","671","endgame mate mateIn1 oneMove"
"2k1r3/1pp1Q3/p5p1/2N3Pp/2np3q/P4R2/1PP2P2/1K2R3 b - - 0 31","e8e7 f3f8 e7e8 e1e8","654","endgame mate mateIn2 short"
"5r1k/pp2NppQ/8/2n1P3/2r5/5R2/qPP3PP/1R4K1 b - - 0 24","h8h7 f3h3 c4h4 h3h4","656","anastasiaMate mate mateIn2 middlegame short"
"r1r1b1k1/6pn/pp2p2p/3pP3/1B6/3B3P/PP3RPK/5R2 b - - 1 29","a6a5 f2f8 h7f8 f1f8","672","kingsideAttack mate mateIn2 middlegame sacrifice short"
"6k1/R4p1p/3b1Bp1/3Pp3/1rr1P3/8/5PPP/2R3K1 w - - 0 25","c1c4 b4b1 c4c1 b1c1","693","backRankMate endgame mate mateIn2 short"
"rnb1k1nr/ppp2ppp/3b4/3p4/8/2NP2q1/PPPBP2P/R2QKBNR w KQkq - 0 7","h2g3 d6g3","605","bodenMate mate mateIn1 oneMove opening"
"r6k/pp3ppB/2p5/8/2P5/N5Nn/P3QnPP/6RK w - - 1 24","e2f2 h3f2","600","hangingPiece mate mateIn1 middlegame oneMove smotheredMate"
"2r2r1k/4Q1p1/7p/p6B/P7/1P6/2p3PP/2R2q1K w - - 2 35","c1f1 f8f1","613","backRankMate endgame mate mateIn1 oneMove"
"r1b2rk1/2q2ppp/p1p2n2/2ppQ1B1/8/3P4/PPP2PPP/RN2R1K1 b - - 0 14","f8e8 e5e8 f6e8 e1e8","633","backRankMate mate mateIn2 middlegame short"
"2R4r/pp3pk1/1q3p1p/8/4P3/Qb3P2/1P2B1PP/K7 w - - 2 29","c8h8 b6g1 e2f1 g1f1","640","endgame mate mateIn2 short"
"2k2r2/pp3qpp/2p1p3/8/3rR1Q1/8/PPP2PPP/R5K1 w - - 0 20","e4d4 f7f2 g1h1 f2f1 a1f1 f8f1","692","backRankMate endgame long mate mateIn3 sacrifice"
"k7/p4pp1/2N2n1p/1R6/8/P5P1/3r2PP/4K3 b - - 3 32","d2c2 b5b8","638","arabianMate endgame mate mateIn1 oneMove"
"r1b3rk/pp2qNbp/6p1/2P2pN1/1P6/4P1P1/P4P1P/2B2R1K b - - 1 22","e7f7 g5f7","627","hangingPiece kingsideAttack master mate mateIn1 middlegame oneMove smotheredMate"
"r2kR2r/pp1n2b1/2p2p1p/3n1p1B/5B2/2NP4/PPP3PP/2K1R3 b - - 8 19","h8e8 e1e8","627","mate mateIn1 middlegame oneMove"
"8/8/4bp1R/3p4/P2P4/1r2kP2/6PP/6K1 w - - 3 39","h6f6 b3b1","600","endgame mate mateIn1 oneMove"
"r6k/1pp1R1pp/p2p4/6q1/2P5/P7/1P1Q2PP/4RBK1 b - - 0 25","g5d2 e7e8 a8e8 e1e8","600","backRankMate endgame mate mateIn2 short"
"8/8/8/8/1pR5/4K3/1r3p2/4k3 b - - 7 59","f2f1q c4c1","687","endgame mate mateIn1 oneMove queenRookEndgame"
"Q7/7p/2p5/8/7P/1pp1k3/3p4/2K5 w - - 0 50","c1d1 c3c2","690","advancedPawn endgame mate mateIn1 oneMove queenEndgame"
"4r2k/5KRp/6pP/4B1P1/1P6/5p2/8/8 b - - 3 44","e8e5 g7g8","618","endgame mate mateIn1 oneMove rookEndgame"
"r1bqr1k1/pp2bppp/2n5/3n4/3p4/3B1N2/PPPBQPPP/R3R1K1 b - - 5 13","e7f6 e2e8 d8e8 e1e8","613","kingsideAttack mate mateIn2 middlegame short"
"r5k1/b2b2p1/6p1/5pN1/3p1q1P/pN6/P1P1Q3/1K2R3 b - - 4 32","a8e8 e2e8 d7e8 e1e8","600","mate mateIn2 middlegame short"
"5k2/R5p1/4K3/3P3p/7P/8/2p1n3/8 b - - 3 45","c2c1q a7a8 c1c8 a8c8","697","endgame master mate mateIn2 short"
"rnbq1rk1/ppp3pp/3bpn2/5pB1/3P4/5B2/PPP1NPPP/RN1Q1RK1 b - - 7 8","d6h2 g1h2 f6g4 f3g4","623","advantage hangingPiece opening short"
"rnb1k2r/p1p2ppp/1p2pn2/4P1B1/8/P1P5/2P2PPP/3RKBNR b Kkq - 0 9","f6e4 d1d8","657","mate mateIn1 middlegame oneMove"
"2r1k1r1/2q2p1p/4pQ2/pb1pP1N1/8/1P6/P2N1bPP/R1R3K1 w - - 0 20","f6f2 c7c1 a1c1 c8c1","671","crushing middlegame short"
"8/6pp/2P1np2/3P4/2k1K3/5PP1/7P/8 b - - 0 44","e6c7 d5d6 c7b5 d6d7","677","advancedPawn crushing endgame knightEndgame short"
"6k1/2q1npp1/p2bp3/1p6/3B4/P2QPN1P/1P3PP1/6K1 w - - 11 30","d3e4 c7c1 f3e1 c1e1","624","endgame mate mateIn2 short"
"3r2k1/R3N1p1/5bb1/Pp4p1/8/6R1/5PKP/1r6 b - - 5 40","g8h7 g3h3 g6h5 h3h5","698","anastasiaMate mate mateIn2 middlegame short"
"r3r1k1/1p1q1pp1/p1n1p2p/8/P2P4/B1nQP3/2B2PPP/1R3RK1 b - - 5 20","c3b1 d3h7","680","mate mateIn1 middlegame oneMove"
"r3r1k1/2Q3p1/3P3p/4qp2/p7/P4B2/6PP/2R4K w - - 0 28","f3a8 e5e1 c1e1 e8e1","664","backRankMate endgame mate mateIn2 sacrifice short"
"r3k2r/4bpp1/3pn3/4p2p/7P/1N3P2/1PPQB3/q1KR3R w kq - 8 27","b3a1 a8a1","600","backRankMate mate mateIn1 middlegame oneMove"
"7k/1bpRr1pp/p1n5/1p2p1b1/8/P1N5/1PP2KPP/3R4 b - - 2 25","b7c8 d7d8 c6d8 d1d8 e7e8 d8e8","680","backRankMate fork long mate mateIn3 middlegame sacrifice"
"6r1/2p5/p5q1/1p3k2/7Q/5P2/PP5P/3R2rK w - - 5 36","d1g1 g6g1","605","endgame mate mateIn1 oneMove"
"5r1k/1r4pp/1p1R4/p1p5/8/P4P2/1P3P1P/1R4K1 b - - 1 28","f8f3 d6d8 f3f8 d8f8","600","backRankMate endgame mate mateIn2 rookEndgame short"
